Enseigne;Adresse;Nombre Points de charge;Puissance délivrée;Type de prise;Condition d'accès;Accessibilité;Coordonnees;Commune;Nom du département;Nom de la région;Commentaires;Nom de la borne
Révéo;Rue de la Fonderie 65000 TARBES;2;18.0;T2 - EF;payant;24/24 7/7 jours;43.24139,0.07373;Tarbes;HAUTES-PYRENEES;OCCITANIE;;B1
Révéo;Parking Monge 65100 LOURDES;2;18.0;T2 - EF;payant;24/24 7/7 jours;43.11171,-0.03067;Lourdes;HAUTES-PYRENEES;OCCITANIE;;B2
Révéo;rue Roquette Buisson 65400 ARGELES GAZOST;2;18.0;T2 - EF;payant;24/24 7/7 jours;43.00361,-0.10288;Argelès-Gazost;HAUTES-PYRENEES;OCCITANIE;;B3
Révéo;Place de Verdun 65420 IBOS;2;18.0;T2 - EF;payant;24/24 7/7 jours;43.23392,0.00135;Ibos;HAUTES-PYRENEES;OCCITANIE;;B4
Révéo;Avenue Des Châtaigners 65150 SAINT LAURENT DE NESTE;2;18.0;T2 - EF;payant;24/24 7/7 jours;43.08026,0.48102;Saint-Laurent-de-Neste;HAUTES-PYRENEES;OCCITANIE;;B5
E Born;Place les Vergnades 07110 LARGENTIERE;2;22.0;T2 - EF;payant;24/24 7/7 jours;44.538528,4.291861;Largentière;ARDECHE;AUVERGNE-RHONE-ALPES;;B6
E Born;Avenue de l'Europe Unie 07000 PRIVAS;2;22.0;T2 - EF;payant;24/24 7/7 jours;44.734181,4.598438;Privas;ARDECHE;AUVERGNE-RHONE-ALPES;;B7
E Born;Le Village 07530 MEZILHAC;2;22.0;T2 - EF;payant;24/24 7/7 jours;44.808022,4.351456;Mézilhac;ARDECHE;AUVERGNE-RHONE-ALPES;;B8
E Born;Place des Crottes 07220 ST THOME;2;22.0;T2 - EF;payant;24/24 7/7 jours;44.503,4.629389;Saint-Thomé;ARDECHE;AUVERGNE-RHONE-ALPES;;B9
E Born;Place du Cimeti?re 07400 LE TEIL;2;22.0;T2 - EF;payant;24/24 7/7 jours;44.550008,4.682286;Le Teil;ARDECHE;AUVERGNE-RHONE-ALPES;;B10
E Born;Boulevard Charles de Gaulle 07500 GUILHERAND GRANGES;2;22.0;T2 - EF;payant;24/24 7/7 jours;44.935071,4.883509;Guilherand-Granges;ARDECHE;AUVERGNE-RHONE-ALPES;;B11
E Born;Les Sagnes 07450 SAGNES ET GOUDOULET;2;22.0;T2 - EF;payant;24/24 7/7 jours;44.79045,4.226428;Sagnes-et-Goudoulet;ARDECHE;AUVERGNE-RHONE-ALPES;;B12
E Born;Place de la Guinguette 07160 LE CHEYLARD;2;43.0;T2 - EF;payant;24/24 7/7 jours;44.905868,4.42441;Le Cheylard;ARDECHE;AUVERGNE-RHONE-ALPES;;B13
E Born;Font Benite 07790 ST ALBAN D AY;2;22.0;T2 - EF;payant;24/24 7/7 jours;45.188983,4.638471;Saint-Alban-d'Ay;ARDECHE;AUVERGNE-RHONE-ALPES;;B14
E Born;Le Village 07660 LESPERON;2;22.0;T2 - EF;payant;24/24 7/7 jours;44.730306,3.897925;Lespéron;ARDECHE;AUVERGNE-RHONE-ALPES;;B15
E Born;Place du Foiral 07000 PRIVAS;2;22.0;T2 - EF;payant;24/24 7/7 jours;44.734135,4.59005;Privas;ARDECHE;AUVERGNE-RHONE-ALPES;;B16
E Born;Le Village 07340 CHAMPAGNE;2;22.0;T2 - EF;payant;24/24 7/7 jours;45.271138,4.80108;Champagne;CHARENTE-MARITIME;NOUVELLE-AQUITAINE;;B17
E Born;Le Village 07110 VALGORGE;2;22.0;T2 - EF;payant;24/24 7/7 jours;44.587763,4.129422;Valgorge;ARDECHE;AUVERGNE-RHONE-ALPES;;B18
E Born;Place de la Liberte 07160 LE CHEYLARD;2;22.0;T2 - EF;payant;24/24 7/7 jours;44.9065283,4.422194;Le Cheylard;ARDECHE;AUVERGNE-RHONE-ALPES;;B19
La borne �lectrique;Place Auguste Caroff - 29178 Ploudalm�zeau;2;22.0;T2 - EF;payant;24/24 7/7 jours;48.542092,-4.658987;Ploudalmézeau;FINISTERE;BRETAGNE;;B20
La borne �lectrique;Lanvennec - 29119 Lanrivoar�;2;22.0;T2 - EF;payant;24/24 7/7 jours;48.467699,-4.640213;Lanrivoaré;FINISTERE;BRETAGNE;;B21
La borne �lectrique;Lilia - 29195 Plouguerneau;2;22.0;T2 - EF;payant;24/24 7/7 jours;48.619443,-4.555913;Plouguerneau;FINISTERE;BRETAGNE;;B22
La borne �lectrique;Gare - 29103 Landerneau;2;22.0;T2 - EF;payant;24/24 7/7 jours;48.453715,-4.255886;Landerneau;FINISTERE;BRETAGNE;;B23
La borne �lectrique;Rue de la montagne - 29191 Plougonven;2;22.0;T2 - EF;payant;24/24 7/7 jours;48.520205,-3.712219;Plougonven;FINISTERE;BRETAGNE;;B24
La borne �lectrique;Route du Pont de Bodivy - 29277 Sizun;2;22.0;T2 - EF;payant;24/24 7/7 jours;48.405567,-4.079304;Sizun;FINISTERE;BRETAGNE;;B25
La borne �lectrique;Place de St Eloi - 29005 Baye;2;22.0;T2 - EF;payant;24/24 7/7 jours;47.857526,-3.605561;Baye;MARNE;GRAND EST;;B26
La borne �lectrique;Parking G�n�ral de Gaulle - 29190 Plougonvelin;2;22.0;T2 - EF;payant;24/24 7/7 jours;48.341545,-4.719758;Plougonvelin;FINISTERE;BRETAGNE;;B27
La borne �lectrique;Route de Daoulas - 29086 Irvillac;2;22.0;T2 - EF;payant;24/24 7/7 jours;48.370195,-4.214177;Irvillac;FINISTERE;BRETAGNE;;B28
La borne �lectrique;Place An Ti Kear - 29208 Plourin;2;22.0;T2 - EF;payant;24/24 7/7 jours;48.509138,-4.68705;Plourin;FINISTERE;BRETAGNE;;B29
La borne �lectrique;Place de l'Eglise - 29230 Querrien;2;22.0;T2 - EF;payant;24/24 7/7 jours;47.959826,-3.536914;Querrien;FINISTERE;BRETAGNE;;B30
La borne �lectrique;Rue du Scorff - 29071 Guilligomarc'h;2;22.0;T2 - EF;payant;24/24 7/7 jours;47.935941,-3.415043;Guilligomarc'h;FINISTERE;BRETAGNE;;B31
La borne électrique;Aire de covoiturage Tal Ar Groas - 29042 Crozon;2;22.0;T2 - EF;Gratuit;24/24 7/7 jours;48.248105,-4.418925;Crozon;FINISTERE;BRETAGNE;;B32
Watt else?;Parking Carrefour Market - 65170 BOURISP;2;18.0;T2 - EF;gratuit;24/24 7/7 jours;42.82758,0.33408;Bourisp;HAUTES-PYRENEES;OCCITANIE;;B33
Watt else?;Parking maison du Magnoac - 65230 Cizos;2;18.0;T2 - EF;gratuit;24/24 7/7 jours;43.26722,0.50691;Cizos;HAUTES-PYRENEES;OCCITANIE;;B34
Watt else?;Parking Carrefour Market - 65170 BOURISP;2;18.0;T2 - EF;gratuit;24/24 7/7 jours;42.82758,0.33408;Bourisp;HAUTES-PYRENEES;OCCITANIE;;B35
SDE76;PLACE CHARLES DE GAULLE;2;22.0;T2 - EF;payant;24/24 7/7 jours;49.678975,1.04405833;Tôtes;SEINE-MARITIME;NORMANDIE;;B36
SDE76;RD925;2;22.0;T2 - EF;payant;24/24 7/7 jours;49.95045,1.16411;Petit-Caux;SEINE-MARITIME;NORMANDIE;;B37
SDE76;Place du Fresne;2;22.0;T2 - EF;payant;24/24 7/7 jours;50.006191,1.43674;Saint-Pierre-en-Val;SEINE-MARITIME;NORMANDIE;;B38
SDE76;PARKING  RUE CHARLES GERVAIS;2;22.0;T2 - EF;payant;24/24 7/7 jours;49.46383056,1.51535833;La Feuillie;MANCHE;NORMANDIE;;B39
SDE76;Angle Place de la Mairie et Rue aux Juifs;2;22.0;T2 - EF;payant;24/24 7/7 jours;49.65249444,1.61588333;Gaillefontaine;SEINE-MARITIME;NORMANDIE;;B40
SDE76;Rue Rene Delahaye;2;22.0;T2 - EF;payant;24/24 7/7 jours;49.586728,1.357482;Buchy;MOSELLE;GRAND EST;;B41
SDE76;place de la mairie;2;22.0;T2 - EF;payant;24/24 7/7 jours;49.73736667,0.31476389;Yport;SEINE-MARITIME;NORMANDIE;;B42
SDEA10;79 Les Hamberts 10220 GERAUDOT;2;18.0;T2 - EF;payant;24/24 7/7 jours;48.301693,4.335461;Géraudot;AUBE;GRAND EST;;B43
SDEA10;97 Avenue du Général de Gaulle 10510 MAIZIERES LA GRANDE PAROISSE;2;18.0;T2 - EF;payant;24/24 7/7 jours;48.5033,3.7603;Maizières-la-Grande-Paroisse;AUBE;GRAND EST;;B44
SDEA10;5 Rue de la Fin 10150 LAVAU;2;18.0;T2 - EF;payant;24/24 7/7 jours;48.325312,4.085865;Lavau;YONNE;BOURGOGNE-FRANCHE-COMTE;;B45
SDEA10;41 Place des Martyrs pour la Libération 10100 ROMILLY SUR SEINE;2;18.0;T2 - EF;payant;24/24 7/7 jours;48.520456,3.726184;Romilly-sur-Seine;AUBE;GRAND EST;;B46
SDEA10;41 Grande Rue 10270 MONTIERAMEY;2;18.0;T2 - EF;payant;24/24 7/7 jours;48.238953,4.2988;Montiéramey;AUBE;GRAND EST;;B47
SDEA10;5 Rue Marie Pascale Ragueneau 10000 TROYES;2;18.0;T2 - EF;payant;24/24 7/7 jours;48.29443,4.068311;Troyes;AUBE;GRAND EST;;B48
SDEA10;22 Rue de la Mairie 10440 TORVILLIERS;2;18.0;T2 - EF;payant;24/24 7/7 jours;48.274322,3.975597;Torvilliers;AUBE;GRAND EST;;B49
SDEA10;Avenue Saint Roch 10400 NOGENT SUR SEINE;2;18.0;T2 - EF;payant;24/24 7/7 jours;48.4935616,3.5111747;Nogent-sur-Seine;AUBE;GRAND EST;;B50
SDEA10;1 Rue Guy Môquet 10100 ROMILLY SUR SEINE;2;18.0;T2 - EF;payant;24/24 7/7 jours;48.515358,3.716259;Romilly-sur-Seine;AUBE;GRAND EST;;B51
SDEA10;3 Rue de la Fontaine 10140 JESSAINS;2;18.0;T2 - EF;payant;24/24 7/7 jours;48.29715,4.577514;Jessains;AUBE;GRAND EST;;B52
SDEA10;3 Place Maréchal Foch 10380 PLANCY L'ABBAYE;2;18.0;T2 - EF;payant;24/24 7/7 jours;48.568551,3.968203;Plancy-l'Abbaye;AUBE;GRAND EST;;B53
E Born;Parking face Mairie 26150 SOLAURE EN DIOIS;2;22.0;T2 - EF;payant;24/24 7/7 jours;44.712392,5.401908;Solaure en Diois;DROME;AUVERGNE-RHONE-ALPES;;B54
E Born;Rue Des Colporteurs 38520 LE BOURG D OISANS;2;43.0;T2 - EF;payant;24/24 7/7 jours;45.055493,6.034235;Le Bourg-d'Oisans;ISERE;AUVERGNE-RHONE-ALPES;;B55
VIRTA;Place Guerrier - 41140 Noyers-sur-Cher;1;18.0;T2 - EF;payant;24/24 7/7 jours;47.27667546,1.40075666;Noyers-sur-Cher;LOIR-ET-CHER;CENTRE-VAL DE LOIRE;;B56
VIRTA;16 rue du Général Alexandre de Beauharnais - 41210 Ferté Beauharnais (La);1;18.0;T2 - EF;payant;24/24 7/7 jours;47.5426006,1.8489946;La Ferté-Beauharnais;LOIR-ET-CHER;CENTRE-VAL DE LOIRE;;B57
VIRTA;Quai Saint Jean - 41000 Blois;1;18.0;T2 - EF;payant;24/24 7/7 jours;47.587974,1.338914;Blois;LOIR-ET-CHER;CENTRE-VAL DE LOIRE;;B58
VIRTA;Champs de Ligny - 41350 Huisseau-sur-Cosson;1;18.0;T2 - EF;payant;24/24 7/7 jours;47.59298061,1.45730802;Huisseau-sur-Cosson;LOIR-ET-CHER;CENTRE-VAL DE LOIRE;;B59
VIRTA;Rue de l'Angevinière - 41120 Cellettes;1;18.0;T2 - EF;payant;24/24 7/7 jours;47.5247222,1.3877777;Cellettes;CHARENTE;NOUVELLE-AQUITAINE;;B60
VIRTA;Rue Clotaire Paumier - 41700 Chémery;1;18.0;T2 - EF;payant;24/24 7/7 jours;47.35027779,1.48250001;Chémery;LOIR-ET-CHER;CENTRE-VAL DE LOIRE;;B61
SREM2;2 Gr Grande Rue, 70700 Gy;2;22.0;T2 - EF;gratuit;24/24 7/7 jours;47.40713,5.81502;Gy;HAUTE-SAONE;BOURGOGNE-FRANCHE-COMTE;;B62
SREM2;Place du 8 mai - Luxeuil Les Bains;2;22.0;T2 - EF;gratuit;24/24 7/7 jours;47.812825,6.380514;Luxeuil-les-Bains;HAUTE-SAONE;BOURGOGNE-FRANCHE-COMTE;;B63
Révéo;Parking De La Salesse 12320 CONQUES-EN-ROUERGUE;2;22.0;T2 - EF;payant;24/24 7/7 jours;44.59893,2.403178;Conques-en-Rouergue;AVEYRON;OCCITANIE;;B64
Révéo;Parking De La Salesse 12320 CONQUES-EN-ROUERGUE;2;22.0;T2 - EF;payant;24/24 7/7 jours;44.59893,2.403178;Conques-en-Rouergue;AVEYRON;OCCITANIE;;B65
IRVE SIEEEN;Place Pierre Saury 58110 CHATILLON EN BAZOIS;2;22.0;T2 - EF;Gratuit;24/24 7/7 jours;47.05332942,3.65495034;Châtillon-en-Bazois;NIEVRE;BOURGOGNE-FRANCHE-COMTE;;B66
IRVE SIEEEN;Maison des Jeunes 58230 MONTSAUCHE LES SETTONS;2;22.0;T2 - EF;Gratuit;24/24 7/7 jours;47.21449981,4.02391367;Montsauche-les-Settons;NIEVRE;BOURGOGNE-FRANCHE-COMTE;;B67
IRVE SIEEEN;Impasse de la Grippe 58000 NEVERS;2;22.0;T2 - EF;Gratuit;24/24 7/7 jours;46.98639327,3.15137699;Nevers;NIEVRE;BOURGOGNE-FRANCHE-COMTE;;B68
IRVE SIEEEN;Place Pouyat 58250 FOURS;2;22.0;T2 - EF;Gratuit;24/24 7/7 jours;46.81638721,3.72097224;Fours;NIEVRE;BOURGOGNE-FRANCHE-COMTE;;B69
SIEGE 27;Gare SNCF Val de Reuil;2;22.0;T2 - EF;payant;24/24 7/7 jours;49.275684,1.224221;Val-de-Reuil;EURE;NORMANDIE;;B70
SIEGE 27;Rue de Paris Igoville;2;22.0;T2 - EF;payant;24/24 7/7 jours;49.319537,1.156333;Igoville;EURE;NORMANDIE;;B71
SIEGE 27;Place de la Mairie St Georges du Vievre;2;22.0;T2 - EF;payant;24/24 7/7 jours;49.243902,0.584992;Saint-Georges-du-Vièvre;EURE;NORMANDIE;;B72
SIEGE 27;Place Barette Vernon;2;22.0;T2 - EF;payant;24/24 7/7 jours;49.092874,1.485049;Vernon;EURE;NORMANDIE;;B73
SIEGE 27;Place du Gal de Gaulle Cormeilles;2;22.0;T2 - EF;payant;24/24 7/7 jours;49.24707,0.376949;Cormeilles;OISE;HAUTS-DE-FRANCE;;B74
SIEGE 27;Rue de la Barre Ajou;2;22.0;T2 - EF;payant;24/24 7/7 jours;48.97842,0.781506;Mesnil-en-Ouche;EURE;NORMANDIE;;B75
SIEGE 27;Place de la Liberté Rugles;2;22.0;T2 - EF;payant;24/24 7/7 jours;48.824326,0.71108;Rugles;EURE;NORMANDIE;;B76
SIEGE 27;Parking Intermarché Romilly sur Andelle;2;22.0;T2 - EF;payant;24/24 7/7 jours;49.335297,1.266925;Romilly-sur-Andelle;EURE;NORMANDIE;;B77
SIEGE 27;Boulevard de Gaulle St Marcel;2;22.0;T2 - EF;payant;24/24 7/7 jours;49.101689,1.452088;Saint-Marcel;INDRE;CENTRE-VAL DE LOIRE;;B78
SIEGE 27;Aire de covoiturage Saint Aubin sur Gaillon;2;22.0;T2 - EF;payant;24/24 7/7 jours;49.1394202,1.3175225;Saint-Aubin-sur-Gaillon;EURE;NORMANDIE;;B79
SIEGE 27;Parking de Covoiturage Douains;2;22.0;T2 - EF;payant;24/24 7/7 jours;49.060499,1.420738;Douains;EURE;NORMANDIE;;B80
SIEGE 27;Parking de Covoiturage Douains;2;22.0;T2 - EF;payant;24/24 7/7 jours;49.060499,1.420738;Douains;EURE;NORMANDIE;;B81
VIRTA;Rue du Prieuré  - 37220 PARCAY SUR VIENNE;1;18.0;T2 - EF;payant;24/24 7/7 jours;47.103448,0.477806;Parçay-sur-Vienne;INDRE-ET-LOIRE;CENTRE-VAL DE LOIRE;;B82
VIRTA;Rue de la poste - 37110 ST NICOLAS DES MOTETS;1;18.0;T2 - EF;payant;24/24 7/7 jours;47.585286,1.037276;Saint-Nicolas-des-Motets;INDRE-ET-LOIRE;CENTRE-VAL DE LOIRE;;B83
VIRTA;Rue de la mairie - 37230 PERNAY;1;18.0;T2 - EF;payant;24/24 7/7 jours;47.444663,0.49908;Pernay;INDRE-ET-LOIRE;CENTRE-VAL DE LOIRE;;B84
VIRTA;Rue de la Gare - 37800 MAILLE;1;18.0;T2 - EF;payant;24/24 7/7 jours;47.053437,0.582874;Maillé;INDRE-ET-LOIRE;CENTRE-VAL DE LOIRE;;B85
VIRTA;Parking Espace Coselia - 37390 METTRAY;1;18.0;T2 - EF;payant;24/24 7/7 jours;47.448616,0.650692;Mettray;INDRE-ET-LOIRE;CENTRE-VAL DE LOIRE;;B86
VIRTA;Place de la mairie - 37380 NEUILLE LE LIERRE;1;18.0;T2 - EF;payant;24/24 7/7 jours;47.51268,0.910568;Neuillé-le-Lierre;INDRE-ET-LOIRE;CENTRE-VAL DE LOIRE;;B87
VIRTA;A 85 PDC 4  -  Super chargeur - 37310 SUBLAINES;1;22.0;T2 - EF;payant;24/24 7/7 jours;47.28643,0.984678;Sublaines;INDRE-ET-LOIRE;CENTRE-VAL DE LOIRE;;B88
VIRTA;Place des saules - 37350 CHAUMUSSAY;1;18.0;T2 - EF;payant;24/24 7/7 jours;46.870463,0.862188;Chaumussay;INDRE-ET-LOIRE;CENTRE-VAL DE LOIRE;;B89
VIRTA;Intermarché - 37300 JOUE LES TOURS;1;18.0;T2 - EF;payant;24/24 7/7 jours;47.3376,0.6564;Joué-lès-Tours;INDRE-ET-LOIRE;CENTRE-VAL DE LOIRE;;B90
VIRTA;Rue Principale aire de pique-nique - 37240 BOURNAN;1;18.0;T2 - EF;payant;24/24 7/7 jours;47.063082,0.731061;Bournan;INDRE-ET-LOIRE;CENTRE-VAL DE LOIRE;;B91
VIRTA;Impasse de la Forge - 37600 PERRUSSON;1;18.0;T2 - EF;payant;24/24 7/7 jours;47.100817,1.014151;Perrusson;INDRE-ET-LOIRE;CENTRE-VAL DE LOIRE;;B92
VIRTA;Place de l'église - 37140 INGRANDES DE TOURAINE;1;18.0;T2 - EF;payant;24/24 7/7 jours;47.282613,0.266909;Coteaux-sur-Loire;INDRE-ET-LOIRE;CENTRE-VAL DE LOIRE;;B93
VIRTA;Esplanade des Droits de l'enfant - rue tonnellé - 37540 ST CYR SUR LOIRE;1;18.0;T2 - EF;payant;24/24 7/7 jours;47.399974,0.666684;Saint-Cyr-sur-Loire;INDRE-ET-LOIRE;CENTRE-VAL DE LOIRE;;B94
VIRTA;Parking rue du Stade - 37600 ST HIPPOLYTE;1;18.0;T2 - EF;payant;24/24 7/7 jours;47.057907,1.101471;Saint-Hippolyte;GIRONDE;NOUVELLE-AQUITAINE;;B95
VIRTA;Rue Notre Dame des Champs - 37290 BOUSSAY;1;18.0;T2 - EF;payant;24/24 7/7 jours;46.841416,0.887463;Boussay;LOIRE-ATLANTIQUE;PAYS DE LA LOIRE;;B96
VIRTA;A 28 PDC 2  -  Super chargeur - 37360 NEUILLE PONT PIERRE;1;50.0;T2 - EF;payant;24/24 7/7 jours;47.555778,0.59565;Neuillé-Pont-Pierre;INDRE-ET-LOIRE;CENTRE-VAL DE LOIRE;;B97
SIEML;Place Champ De Foire 49700 DOUE LA FONTAINE;2;18.0;T2 - EF;payant;24/24 7/7 jours;47.191899,-0.27582;Doué-en-Anjou;MAINE-ET-LOIRE;PAYS DE LA LOIRE;;B98
SIEML;Rue De La Loire 49170 SAINT GERMAIN DES PRES;3;50.0;T2 - EF;payant;24/24 7/7 jours;47.4096558,-0.8330849;Saint-Germain-des-Prés;TARN;OCCITANIE;;B99
SIEML;Place Jean Moulin 49000 ANGERS;2;18.0;T2 - EF;payant;24/24 7/7 jours;47.491494,-0.552912;Angers;MAINE-ET-LOIRE;PAYS DE LA LOIRE;;B100
SIEML;Parking Mairie 49170 SAINT MARTIN DU FOUILLOUX;2;18.0;T2 - EF;payant;24/24 7/7 jours;47.431488,-0.703429;Saint-Martin-du-Fouilloux;MAINE-ET-LOIRE;PAYS DE LA LOIRE;;B101
SIEML;Place Champ de Foire 49220 LE LION D'ANGERS;2;18.0;T2 - EF;payant;24/24 7/7 jours;47.626205,-0.711688;Le Lion-d'Angers;MAINE-ET-LOIRE;PAYS DE LA LOIRE;;B102
SIEML;Promenade Vieille Maine 49000 ECOUFLANT;2;18.0;T2 - EF;payant;24/24 7/7 jours;47.52875,-0.528013;Écouflant;MAINE-ET-LOIRE;PAYS DE LA LOIRE;;B103
SIEML;Place Robert Lefort 49330 CHATEAUNEUF SUR SARTHE;2;18.0;T2 - EF;payant;24/24 7/7 jours;47.68098,-0.488031;Les Hauts-d'Anjou;MAINE-ET-LOIRE;PAYS DE LA LOIRE;;B104
SIEML;Place Pont Pouillet 49350 CHENEHUTTE TREVES CUNAULT;2;18.0;T2 - EF;payant;24/24 7/7 jours;47.308056,-0.152529;Gennes-Val-de-Loire;MAINE-ET-LOIRE;PAYS DE LA LOIRE;;B105
SIEML;Place Bichon 49000 ANGERS;2;18.0;T2 - EF;payant;24/24 7/7 jours;47.478727,-0.564293;Angers;MAINE-ET-LOIRE;PAYS DE LA LOIRE;;B106
SIEML;Parking De La Mairie 49110 CHAUDRON EN MAUGES;2;18.0;T2 - EF;payant;24/24 7/7 jours;47.288395,-0.983533;Montrevault-sur-Èvre;MAINE-ET-LOIRE;PAYS DE LA LOIRE;;B107
SIEML;Rue Maurice Ravel 49340 TREMENTINES;2;18.0;T2 - EF;payant;24/24 7/7 jours;47.122795,-0.789465;Trémentines;MAINE-ET-LOIRE;PAYS DE LA LOIRE;;B108
SIEML;Place De L'Eglise 49123 CHAMPTOCE SUR LOIRE;2;18.0;T2 - EF;payant;24/24 7/7 jours;47.412434,-0.864912;Champtocé-sur-Loire;MAINE-ET-LOIRE;PAYS DE LA LOIRE;;B109
SIEML;Place Ney - Place R.Toublanc 49000 ANGERS;2;18.0;T2 - EF;payant;24/24 7/7 jours;47.480374,-0.543489;Angers;MAINE-ET-LOIRE;PAYS DE LA LOIRE;;B110
SIEML;Rue President Vilette 49130 LES PONTS DE CE;2;18.0;T2 - EF;payant;24/24 7/7 jours;47.437306,-0.527251;Les Ponts-de-Cé;MAINE-ET-LOIRE;PAYS DE LA LOIRE;;B111
SIEML;Parking rue Jean Gallart 49650 ALLONNES;2;18.0;T2 - EF;payant;24/24 7/7 jours;47.291658,0.021022;Allonnes;EURE-ET-LOIR;CENTRE-VAL DE LOIRE;;B112
SIEML;Place Flandres - Dunkerque 49370 VILLEMOISAN;2;22.0;T2 - EF;payant;24/24 7/7 jours;47.462874,-0.891717;Val d'Erdre-Auxence;MAINE-ET-LOIRE;PAYS DE LA LOIRE;;B113
SIEML;Place Monprofit 49170 SAINT GEORGES SUR LOIRE;2;18.0;T2 - EF;payant;24/24 7/7 jours;47.4097886,-0.7583043;Saint-Georges-sur-Loire;MAINE-ET-LOIRE;PAYS DE LA LOIRE;;B114
SIEML;Place Fraternite 49000 ANGERS;2;18.0;T2 - EF;payant;24/24 7/7 jours;47.49153,-0.560842;Angers;MAINE-ET-LOIRE;PAYS DE LA LOIRE;;B115
SIEML;Avenue Des Trois Ponts 49380 THOUARCE;2;18.0;T2 - EF;payant;24/24 7/7 jours;47.265862,-0.505148;Bellevigne-en-Layon;MAINE-ET-LOIRE;PAYS DE LA LOIRE;;B116
SIEML;Place Des Combattants 49510 JALLAIS;2;18.0;T2 - EF;payant;24/24 7/7 jours;47.198261,-0.868405;Beaupréau-en-Mauges;MAINE-ET-LOIRE;PAYS DE LA LOIRE;;B117
SIEML;Rue Chevriere 49080 BOUCHEMAINE;2;18.0;T2 - EF;payant;24/24 7/7 jours;47.424319,-0.609137;Bouchemaine;MAINE-ET-LOIRE;PAYS DE LA LOIRE;;B118
SIEML;Parking Ecole Route Angers 49460 SOULAIRE ET BOURG;2;18.0;T2 - EF;payant;24/24 7/7 jours;47.577466,-0.55436;Soulaire-et-Bourg;MAINE-ET-LOIRE;PAYS DE LA LOIRE;;B119
SIEML;Parking 14 Décembre 1863 49280 SAINT LEGER SOUS CHOLET;2;18.0;T2 - EF;payant;24/24 7/7 jours;47.092248,-0.911004;Saint-Léger-sous-Cholet;MAINE-ET-LOIRE;PAYS DE LA LOIRE;;B120
SIEML;Rue St Gilles 49124 LE PLESSIS GRAMMOIRE;2;18.0;T2 - EF;payant;24/24 7/7 jours;47.49691,-0.430275;Le Plessis-Grammoire;MAINE-ET-LOIRE;PAYS DE LA LOIRE;;B121
SIEML;Rue Nationale 49740 LA ROMAGNE;2;18.0;T2 - EF;payant;24/24 7/7 jours;47.059998,-1.026729;La Romagne;MAINE-ET-LOIRE;PAYS DE LA LOIRE;;B122
SIEML;Place Imbach 49000 ANGERS;2;18.0;T2 - EF;payant;24/24 7/7 jours;47.474028,-0.548205;Angers;MAINE-ET-LOIRE;PAYS DE LA LOIRE;;B123
SIEML;rue Joseph Cousin 49540 MARTIGNE BRIAND;2;18.0;T2 - EF;payant;24/24 7/7 jours;47.235004,-0.429762;Terranjou;MAINE-ET-LOIRE;PAYS DE LA LOIRE;;B124
SIEML;Place Corbert 49360 YZERNAY;2;18.0;T2 - EF;payant;24/24 7/7 jours;47.021955,-0.703431;Yzernay;MAINE-ET-LOIRE;PAYS DE LA LOIRE;;B125
Révéo;Avenue Emile Leonard 30250 AUBAIS;2;18.0;T2 - EF;payant;24/24 7/7 jours;43.753166,4.147536;Aubais;GARD;OCCITANIE;;B126
Révéo;Rue Des Mesanges-Ferrières 30127 BELLEGARDE;2;18.0;T2 - EF;payant;24/24 7/7 jours;43.752648,4.497933;Bellegarde;LOIRET;CENTRE-VAL DE LOIRE;;B127
Révéo;Souville Et Lasparens 30360 VEZENOBRES;2;18.0;T2 - EF;payant;24/24 7/7 jours;44.050695,4.13826;Vézénobres;GARD;OCCITANIE;;B128
Révéo;Avenue Jean Tassy 30430 BARJAC;2;18.0;T2 - EF;payant;24/24 7/7 jours;44.306927,4.347918;Barjac;GARD;OCCITANIE;;B129
Révéo;Parking Quai 19 Mars 1962 30240 LE GRAU DU ROI;2;18.0;T2 - EF;payant;24/24 7/7 jours;43.540029,4.13598;Le Grau-du-Roi;GARD;OCCITANIE;;B130
Révéo;Avenue De L'Ecole 30130 SAINT PAULET DE CAISSON;2;18.0;T2 - EF;payant;24/24 7/7 jours;44.259335,4.596218;Saint-Paulet-de-Caisson;GARD;OCCITANIE;;B131
Révéo;Parking Station Service 30580 LUSSAN;4;4.0;T2 - EF;payant;24/24 7/7 jours;44.150222,4.362533;Lussan;GERS;OCCITANIE;;B132
Révéo;Place Du Marché 30131 PUJAUT;2;18.0;T2 - EF;payant;24/24 7/7 jours;44.00266,4.774435;Pujaut;GARD;OCCITANIE;;B133
Révéo;Chemin De La Croix De Redon 34550 BESSAN;2;22.0;T2 - EF;payant;24/24 7/7 jours;43.357625,3.425018;Bessan;HERAULT;OCCITANIE;;B134
Révéo;ZAE l'Audacieuse 34480 MAGALAS;4;4.0;T2 - EF;payant;24/24 7/7 jours;43.46829531,3.207455277;Magalas;HERAULT;OCCITANIE;;B135
Révéo;Parking Halle Des Sports 34110 MIREVAL;2;22.0;T2 - EF;payant;24/24 7/7 jours;43.5090444,3.799119444;Mireval;HERAULT;OCCITANIE;;B136
Révéo;Parking Du Théâtre 34340 MARSEILLAN VILLAGE;2;22.0;T2 - EF;payant;24/24 7/7 jours;43.3537167,3.530308333;Marseillan;GERS;OCCITANIE;;B137
